Date,Open,High,Low,Close,Adj Close,Volume
3/29/2018,120.900002,126.279999,118.57,124.589996,124.589996,2966600
4/2/2018,124.709999,127.5,120.300003,122.080002,122.080002,1843400
4/3/2018,124,125.480003,117.800003,119.370003,119.370003,1824000
4/4/2018,114.110001,121.349998,112.5,120.669998,120.669998,1486700
4/5/2018,123.75,125.519997,119.599998,120.139999,120.139999,1239900
4/6/2018,118.769997,120.790001,115.959999,117.419998,117.419998,1089900
4/9/2018,119.150002,123.709999,118.099998,118.949997,118.949997,1788600
4/10/2018,122.449997,123.489998,118.949997,122.870003,122.870003,1607400
4/11/2018,121.989998,124.199997,119.360001,119.529999,119.529999,1203200
4/12/2018,120.559998,121.249001,119.129997,120.75,120.75,1997800
4/13/2018,122,122.190002,116.239998,117.510002,117.510002,4578300
4/16/2018,117.830002,118,113.68,116.940002,116.940002,2108700
4/17/2018,118,127.32,117.910004,125.959999,125.959999,2706800
4/18/2018,126.32,128.309998,123.260002,127.559998,127.559998,1771000
4/19/2018,126.120003,129.580002,125.574997,126.669998,126.669998,1356600
4/20/2018,126.5,127.599998,125.285004,126.790001,126.790001,1670300
4/23/2018,127.190002,127.220001,121.150002,122.910004,122.910004,2039500
4/24/2018,123.900002,126.849998,121.510002,123.139999,123.139999,1921200
4/25/2018,123,123.330002,118.544998,120.019997,120.019997,1215400
4/26/2018,121.980003,125.519997,121.980003,124.150002,124.150002,1376200
4/27/2018,126.769997,127.099998,124.199997,126.620003,126.620003,1703900
4/30/2018,128,134.429993,127.010002,133.630005,133.630005,3840400
5/1/2018,125.080002,128.100006,118.809998,127.68,127.68,7356500
5/2/2018,126.849998,129.740005,122.480003,124.809998,124.809998,2964500
5/3/2018,124.809998,135.529999,124.25,135.169998,135.169998,3316500
5/4/2018,134.800003,138.261002,132.630005,136.130005,136.130005,1934000
5/7/2018,137.789993,139.050003,136.589996,138.559998,138.559998,1364200
5/8/2018,139.470001,146.050003,138.610001,143.309998,143.309998,2310200
5/9/2018,144,146.475006,143,146.100006,146.100006,1534200
5/10/2018,146.399994,146.970001,145.710007,146.229996,146.229996,1162200
5/11/2018,146.330002,146.669998,142.710007,144.470001,144.470001,1161600
5/14/2018,145.300003,148.289993,142.229996,142.639999,142.639999,1479500
5/15/2018,145.300003,145.300003,137.630005,142.5,142.5,1140700
5/16/2018,143.020004,144.630005,142.110001,142.279999,142.279999,713300
5/17/2018,142.220001,146.617996,141.899994,146.100006,146.100006,1440200
5/18/2018,145.259995,147.699997,144.729996,147.059998,147.059998,1033400
5/21/2018,148.729996,150.970001,143.419998,144.509995,144.509995,1564000
5/22/2018,140.699997,142.990005,137.309998,138.75,138.75,2760500
5/23/2018,138,141.25,137.5,140.830002,140.830002,997200
5/24/2018,140.490005,143.679993,140.25,143.050003,143.050003,909400
5/25/2018,143.050003,144.660004,142.679993,143.639999,143.639999,654200
5/29/2018,143.320007,145.320007,141.800003,143.289993,143.289993,857400
5/30/2018,144,146.800003,143.690994,145.839996,145.839996,765700
5/31/2018,146.110001,149.979996,145.520004,148.089996,148.089996,1431600
6/1/2018,149.5,151.654999,147.539993,150.800003,150.800003,1307800
6/4/2018,151.929993,157.860001,151.75,156.910004,156.910004,1622400
6/5/2018,157.119995,162,156.839996,161.059998,161.059998,1394400
6/6/2018,162.050003,165.770004,160.259995,165.360001,165.360001,1399600
6/7/2018,166,166.009995,158.880005,161.259995,161.259995,1738800
6/8/2018,159.550003,163.830002,158.5,162.809998,162.809998,1056900
6/11/2018,163.199997,164.904007,160.029999,160.240005,160.240005,1079400
6/12/2018,160.330002,165.889999,160.130005,165.240005,165.240005,1378100
6/13/2018,165,171.130005,163.809998,165.089996,165.089996,2156000
6/14/2018,166.220001,168.860001,166,167.940002,167.940002,1125200
6/15/2018,166.649994,169.358002,164.649994,168.440002,168.440002,841700
6/18/2018,167,172.919998,166.796005,172.839996,172.839996,1261300
6/19/2018,169.800003,172.509995,167.070007,170.610001,170.610001,1092700
6/20/2018,173.669998,175.110001,172.210007,172.25,172.25,965300
6/21/2018,173.479996,173.841003,164.350006,164.539993,164.539993,1764300
6/22/2018,166.520004,166.679993,160.070007,162.529999,162.529999,1232900
6/25/2018,160,160,151.050003,153.210007,153.210007,2180800
6/26/2018,155.75,158.725998,154.115005,155.009995,155.009995,1815500
6/27/2018,155.520004,156.199997,144.279999,144.699997,144.699997,3248400
6/28/2018,143.169998,147.830002,140.399994,146.550003,146.550003,1881000
6/29/2018,147.820007,149.947998,145.350006,145.889999,145.889999,1205000
7/2/2018,142.710007,149.570007,141.369995,149.419998,149.419998,880800
7/3/2018,149.179001,151.949997,147.253998,150.5,150.5,1060800
7/5/2018,153.149994,153.770004,149.960007,152.679993,152.679993,914900
7/6/2018,152.910004,157.339996,152,156.809998,156.809998,1073800
7/9/2018,158.789993,160.399994,154.240005,158.449997,158.449997,997000
7/10/2018,158.619995,160.365005,157.809998,158.979996,158.979996,776500
7/11/2018,157.479996,161.970001,156.270004,160.979996,160.979996,745500
7/12/2018,162.580002,168.199997,162.110001,167.5,167.5,995800
7/13/2018,167.720001,168.115005,163.740005,166.179993,166.179993,877100
7/16/2018,166.130005,169.399994,164.800003,165.350006,165.350006,1262300
7/17/2018,161.710007,170.300003,161.050003,169,169,1200600
7/18/2018,169.25,171.479996,167.031006,170.479996,170.479996,851600
7/19/2018,170,172.100006,168.179993,171.75,171.75,829100
7/20/2018,172,175.289993,171.300003,171.75,171.75,1277800
7/23/2018,171.949997,174.132004,169,173.259995,173.259995,839700
7/24/2018,174.839996,176.598999,166.630005,168.339996,168.339996,1541500
7/25/2018,167.910004,174.029999,165.570007,173.779999,173.779999,1255900
7/26/2018,169.330002,172.240005,168.649994,170.289993,170.289993,1158500
7/27/2018,172.350006,172.350006,159.259995,160.149994,160.149994,2102000
7/30/2018,159.800003,160.470001,147.330002,148.080002,148.080002,2745100
7/31/2018,138.520004,143.770004,133.261002,138.210007,138.210007,7920600
8/1/2018,138.679993,140.218994,134.889999,136.360001,136.360001,2405200
8/2/2018,134.580002,144.210007,132.630005,143.919998,143.919998,2724900
8/3/2018,145,145.470001,140.830002,141.869995,141.869995,1617400
8/6/2018,141.910004,142.410004,138,142.039993,142.039993,1196400
8/7/2018,143.149994,146.639008,141.169998,141.679993,141.679993,1013000
8/8/2018,142.669998,144.139999,140.850006,142.699997,142.699997,817500
8/9/2018,142.210007,147.139999,142.199997,146.440002,146.440002,875200
8/10/2018,145.089996,151.179993,144.149994,149.220001,149.220001,1321600
8/13/2018,149.350006,151.009995,142.410004,142.869995,142.869995,1280000
8/14/2018,144.199997,145.740005,141.550003,144.380005,144.380005,1228400
8/15/2018,142.580002,144.559998,137.110001,138.919998,138.919998,1820300
8/16/2018,140.779999,142.110001,138.850006,139.160004,139.160004,921000
8/17/2018,138.919998,140.240005,135.789993,137.190002,137.190002,1258900
8/20/2018,138,138.334,132.850006,135.970001,135.970001,1517100
8/21/2018,135.119995,137.779999,133.259995,133.440002,133.440002,1425400
8/22/2018,132.339996,138.5,132.339996,137.630005,137.630005,1265200
8/23/2018,138.039993,140.910004,137.050003,137.490005,137.490005,1042000
8/24/2018,139.600006,141.5,138.470993,140.580002,140.580002,1213100
8/27/2018,141.850006,144.75,139,144.039993,144.039993,1386400
8/28/2018,145.600006,146.050003,142.75,145,145,1289500
8/29/2018,145.389999,146.5,143.770004,145.149994,145.149994,936700
8/30/2018,144.600006,146.483994,143.281006,144.809998,144.809998,812300
8/31/2018,143.889999,146.259995,143.389999,145.669998,145.669998,669100
9/4/2018,146.100006,146.929993,143.610001,146.339996,146.339996,912100
9/5/2018,143.669998,144.125,136.5,139.970001,139.970001,2362300
9/6/2018,139.710007,140.455002,132.350006,134.130005,134.130005,1825400
9/7/2018,131.270004,141.179993,130.600006,140.639999,140.639999,2039500
9/10/2018,141.339996,142.550003,139.050003,142.130005,142.130005,1062300
9/11/2018,141.5,148.029999,140.391006,147.759995,147.759995,1320500
9/12/2018,147.759995,153.770004,146.220001,153.130005,153.130005,1711200
9/13/2018,154,158.5,153.949997,155.5,155.5,1259800
